,subfield,description,field,url,content
0,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,code theori studi properti code respect fit specif applic
1,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,code use data compress cryptographi error detect correct data transmiss data storag
2,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,code studi variou scientif disciplin inform theori electr engin mathemat linguist comput scienc purpos design effici reliabl data transmiss method
3,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,typic involv remov redund correct detect error transmit data
4,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,four type code data compress sourc code error control channel code cryptograph code line codingdata compress attempt remov redund data sourc order transmit effici
5,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,exampl zip data compress make data file smaller purpos reduc internet traffic
6,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,data compress error correct may studi combin
7,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,error correct add extra data bit make transmiss data robust disturb present transmiss channel
8,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,ordinari user may awar mani applic use error correct
9,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,typic music compact disc cd use reed solomon code correct scratch dust
10,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,applic transmiss channel cd
11,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,cell phone also use code techniqu correct fade nois high frequenc radio transmiss
12,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,data modem telephon transmiss nasa deep space network employ channel code techniqu get bit exampl turbo code ldpc code
13,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,histori code theori claud shannon publish mathemat theori commun articl two part juli octob issu bell system technic journal
14,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,work focus problem best encod inform sender want transmit
15,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,fundament work use tool probabl theori develop norbert wiener nascent stage appli commun theori time
16,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,shannon develop inform entropi measur uncertainti messag essenti invent field inform theori
17,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,binari golay code develop
18,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,error correct code capabl correct three error bit word detect fourth
19,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,richard ham ture award work bell lab numer method automat code system error detect error correct code
20,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,invent concept known ham code ham window ham number ham distanc
21,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,nasir ahm propos discret cosin transform dct develop
22,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,dct wide use lossi compress algorithm basi multimedia format jpeg mpeg mp
23,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,sourc code aim sourc code take sourc data make smaller
24,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,definit data seen random variabl x x displaystyl x omega rightarrow mathcal x x x displaystyl x mathcal x appear probabl p x x displaystyl mathbb p x x
25,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,data encod string word alphabet displaystyl sigma
26,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,code function c x displaystyl c mathcal x rightarrow sigma displaystyl sigma empti string part alphabet
27,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,c x displaystyl c x code word associ x displaystyl x
28,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,length code word written l c x displaystyl l c x
29,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,expect length code l c x x l c x p x x displaystyl l c sum x mathcal x l c x mathbb p x x concaten code word c x
30,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,c x k displaystyl c x
31,Coding theory,Useful in networking and other areas where computers communicate with each other.,Mathematical foundations,https://en.wikipedia.org/wiki/Coding_theory,code word empti string empti string c displaystyl c epsilon epsilon properti c x displaystyl c mathcal x rightarrow sigma non singular inject
